Borough,Address,Sale Date,Sale Price
MN,840 PARK AVENUE,07/16/2019,0
MN,840 PARK AVENUE,07/16/2019,8500000
MN,503 MANHATTAN AVENUE,07/26/2019,0
MN,987 MADISON AVENUE,07/03/2019,0
MN,118 EAST 60 STREET,07/10/2019,860000
MN,655 PARK AVENUE,07/15/2019,3950000
BX,1538 NELSON AVENUE,07/22/2019,605000
MN,1210 3 AVENUE,07/24/2019,1692500
MN,785 PARK AVENUE,07/30/2019,0
MN,111 EAST 75 STREET,07/08/2019,590000
BX,1821 PARKVIEW AVENUE,07/17/2019,0
BX,1817 PARKVIEW AVENUE,07/11/2019,470000
MN,225 EAST 73 STREET,07/29/2019,995000
MN,225 EAST 73 STREET,07/29/2019,0
MN,357 GRAND STREET,07/11/2019,990000
MN,357 GRAND STREET,07/29/2019,1086000
MN,225 EAST 76 STREET,07/30/2019,765000
MN,225 EAST 76 STREET,07/01/2019,415000
MN,409 GRAND STREET,07/23/2019,1360000
MN,409 GRAND STREET,07/25/2019,775000
MN,570 GRAND STREET,07/11/2019,590000
MN,570 GRAND STREET,07/09/2019,775000
MN,504 GRAND STREET,07/15/2019,845000
MN,530 GRAND STREET,07/15/2019,760000
MN,530 GRAND STREET,07/30/2019,580000
MN,345 EAST 65 STREET,07/24/2019,8280000
MN,345 EAST 65 STREET,07/31/2019,8280000
MN,308 EAST 79 STREET,07/15/2019,2217500
MN,308 EAST 79 STREET,07/15/2019,2217500
MN,308 EAST 79 STREET,07/25/2019,720000
MN,308 EAST 79 STREET,07/15/2019,2217500
MN,575 RIVERSIDE DRIVE,07/22/2019,740000
MN,1344 1 AVENUE,07/09/2019,0
MN,421 EAST 78 STREET,07/26/2019,425000
MN,440 EAST 79 STREET,07/16/2019,1700000
MN,55 EAST 87 STREET,07/22/2019,500000
BX,1940 WALLACE AVENUE,07/12/2019,455000
MN,1148 5 AVENUE,07/11/2019,3850000
MN,144 EAST 84 STREET,07/24/2019,410000
BX,1928 HAIGHT AVENUE,07/15/2019,0
BX,1928 HAIGHT AVENUE,07/15/2019,0
MN,278 EAST 3 STREET,07/30/2019,2583642
MN,210 EAST 88 STREET,07/18/2019,398000
MN,345 EAST 81 STREET,07/17/2019,497000
MN,1682 2 AVENUE,07/09/2019,575000
MN,1682 2 AVENUE,07/11/2019,920000
MN,320 EAST 90 STREET,07/02/2019,0
MN,320 EAST 90 STREET,07/02/2019,0
MN,320 EAST 90 STREET,07/02/2019,0
MN,320 EAST 90 STREET,07/02/2019,0
MN,320 EAST 90 STREET,07/02/2019,0
MN,320 EAST 90 STREET,07/02/2019,0
MN,320 EAST 90 STREET,07/02/2019,0
MN,320 EAST 90 STREET,07/02/2019,0
MN,320 EAST 90 STREET,07/02/2019,0
MN,320 EAST 90 STREET,07/02/2019,0
BX,2166 BRONX PARK EAST,07/01/2019,100000
MN,743 EAST 6 STREET,07/24/2019,3200000
MN,324 EAST 93 STREET,07/23/2019,4600000
MN,257 EAST 7 STREET,07/25/2019,690000
MN,432 EAST 85 STREET,07/10/2019,307000
MN,431 EAST 86 STREET,07/03/2019,665000
MN,437 EAST 86 STREET,07/30/2019,447000
MN,437 EAST 86 STREET,07/19/2019,1500000
BX,665 THWAITES PLACE,07/03/2019,183900
BX,2324 BARNES AVENUE,07/24/2019,585000
MN,45 EAST END AVENUE,07/19/2019,1680000
MN,55 EAST END AVENUE,07/09/2019,1525000
MN,55 EAST END AVENUE,07/17/2019,1585000
MN,55 EAST END AVENUE,07/02/2019,1575000
MN,55 EAST END AVENUE,07/11/2019,555000
MN,605 EAST 82 STREET,08/01/2019,425000
MN,75 EAST END AVENUE,07/31/2019,0
MN,75 EAST END AVENUE,07/01/2019,2385000
MN,1158 5 AVENUE,07/02/2019,3500000
BX,1822 WATERLOO PLACE,07/26/2019,205000
MN,228 EAST 2 STREET,07/18/2019,1199000
BX,1400 BOSTON ROAD,07/18/2019,500000
BX,1500 BOSTON ROAD,07/23/2019,25000
BX,1359 ASTOR AVENUE,07/19/2019,0
MN,614 EAST 9 STREET,07/25/2019,355000
MN,307 EAST 8 STREET,07/16/2019,810000
BX,895 EAST 169 STREET,07/01/2019,629000
MN,54 WEST 120 STREET,07/24/2019,0
BX,2540 YATES AVENUE,07/25/2019,143443
MN,230 EAST 4 STREET,07/30/2019,2583642
BX,2180 WEBSTER AVENUE,07/23/2019,3950000
MN,223 EAST 4 STREET,07/12/2019,695000
MN,538 WEST 149 STREET,07/17/2019,1950000
MN,166 AVENUE A,07/22/2019,0
MN,182 AVENUE A,07/02/2019,11500000
MN,930 ST NICHOLAS AVENUE,07/31/2019,530000
BX,519 EAST 187 STREET,07/25/2019,0
MN,944 ST NICHOLAS AVENUE,07/18/2019,1827500
MN,14 SYLVAN TERRACE,07/02/2019,1589000
MN,558 WEST 162 STREET,08/01/2019,0
BX,2529 MICKLE AVENUE,07/15/2019,0
BX,2432 WESTERVELT AVENUE,07/09/2019,420000
MN,200 AUDUBON AVENUE,07/30/2019,0
